Entity,Code,Year,SDG Regions,UNESCO Regions
Afghanistan,AFG,2024,Central and Southern Asia,Asia and the Pacific
Aland Islands,ALA,2024,Europe and Northern America,Europe and Northern America
Albania,ALB,2024,Europe and Northern America,Europe and Northern America
Algeria,DZA,2024,Northern Africa and Western Asia,Arab States
American Samoa,ASM,2024,Oceania,Asia and the Pacific
Andorra,AND,2024,Europe and Northern America,Europe and Northern America
Angola,AGO,2024,Sub-Saharan Africa, Africa
Anguilla,AIA,2024,Latin America and the Caribbean,Latin America and the Caribbean
Antigua and Barbuda,ATG,2024,Latin America and the Caribbean,Latin America and the Caribbean
Argentina,ARG,2024,Latin America and the Caribbean,Latin America and the Caribbean
Armenia,ARM,2024,Northern Africa and Western Asia,Europe and Northern America
Aruba,ABW,2024,Latin America and the Caribbean,Latin America and the Caribbean
Australia,AUS,2024,Australia and New Zealand,Asia and the Pacific
Austria,AUT,2024,Asia and the Pacific,Europe and Northern America
Azerbaijan,AZE,2024,Northern Africa and Western Asia,Asia and the Pacific
Bahamas,BHS,2024,Latin America and the Caribbean,Latin America and the Caribbean
Bahrain,BHR,2024,Northern Africa and Western Asia,Arab States
Bangladesh,BGD,2024,Central and Southern Asia,Asia and the Pacific
Barbados,BRB,2024,Latin America and the Caribbean,Latin America and the Caribbean
Belarus,BLR,2024,Europe and Northern America,Europe and Northern America
Belgium,BEL,2024,Europe and Northern America,Europe and Northern America
Belize,BLZ,2024,Latin America and the Caribbean,Latin America and the Caribbean
Benin,BEN,2024,Sub-Saharan Africa,Africa
Bermuda,BMU,2024,Europe and Northern America,Europe and Northern America
Bhutan,BTN,2024,Central and Southern Asia,Asia and the Pacific
Bolivia,BOL,2024,Latin America and the Caribbean,Latin America and the Caribbean
Bonaire Sint Eustatius and Saba,BES,2024,Latin America and the Caribbean,Latin America and the Caribbean
Bosnia and Herzegovina,BIH,2024,Europe and Northern America,Europe and Northern America
Botswana,BWA,2024,Sub-Saharan Africa,Africa
Bouvet Island,BVT,2024,Latin America and the Caribbean,Latin America and the Caribbean
Brazil,BRA,2024,Latin America and the Caribbean,Latin America and the Caribbean
British Indian Ocean Territory,IOT,2024,Sub-Saharan Africa,Africa
British Virgin Islands,VGB,2024,Latin America and the Caribbean,Latin America and the Caribbean
Brunei,BRN,2024,Eastern and South-Eastern Asia,Asia and the Pacific
Bulgaria,BGR,2024,Europe and Northern America,Europe and Northern America
Burkina Faso,BFA,2024,Sub-Saharan Africa,Africa
Burundi,BDI,2024,Sub-Saharan Africa,Africa
Cambodia,KHM,2024,Eastern and South-Eastern Asia,Asia and the Pacific
Cameroon,CMR,2024,Sub-Saharan Africa,Africa
Canada,CAN,2024,Europe and Northern America,Europe and Northern America
Cape Verde,CPV,2024,Sub-Saharan Africa,Africa
Cayman Islands,CYM,2024,Latin America and the Caribbean,Latin America and the Caribbean
Central African Republic,CAF,2024,Sub-Saharan Africa,Africa
Chad,TCD,2024,Sub-Saharan Africa,Africa
Chile,CHL,2024,Latin America and the Caribbean,Latin America and the Caribbean
China,CHN,2024,Eastern and South-Eastern Asia,Asia and the Pacific
Christmas Island,CXR,2024,Australia and New Zealand,Asia and the Pacific
Cocos Islands,CCK,2024,Australia and New Zealand,Asia and the Pacific
Colombia,COL,2024,Latin America and the Caribbean,Latin America and the Caribbean
Comoros,COM,2024,Sub-Saharan Africa,Africa
Congo,COG,2024,Sub-Saharan Africa,Africa
Cook Islands,COK,2024,Oceania,Asia and the Pacific
Costa Rica,CRI,2024,Latin America and the Caribbean,Latin America and the Caribbean
Cote d'Ivoire,CIV,2024,Sub-Saharan Africa,Africa
Croatia,HRV,2024,Europe and Northern America,Europe and Northern America
Cuba,CUB,2024,Latin America and the Caribbean,Latin America and the Caribbean
Curacao,CUW,2024,Latin America and the Caribbean,Latin America and the Caribbean
Cyprus,CYP,2024,Northern Africa and Western Asia,Europe and Northern America
Czechia,CZE,2024,Europe and Northern America,Europe and Northern America
Democratic Republic of Congo,COD,2024,Sub-Saharan Africa,Africa
Denmark,DNK,2024,Europe and Northern America,Europe and Northern America
Djibouti,DJI,2024,Sub-Saharan Africa,Arab States
Dominica,DMA,2024,Latin America and the Caribbean,Latin America and the Caribbean
Dominican Republic,DOM,2024,Latin America and the Caribbean,Latin America and the Caribbean
East Timor,TLS,2024,Eastern and South-Eastern Asia,Asia and the Pacific
Ecuador,ECU,2024,Latin America and the Caribbean,Latin America and the Caribbean
Egypt,EGY,2024,Northern Africa and Western Asia,Arab States
El Salvador,SLV,2024,Latin America and the Caribbean,Latin America and the Caribbean
Equatorial Guinea,GNQ,2024,Sub-Saharan Africa,Africa
Eritrea,ERI,2024,Sub-Saharan Africa,Africa
Estonia,EST,2024,Europe and Northern America,Europe and Northern America
Eswatini,SWZ,2024,Sub-Saharan Africa,Africa
Ethiopia,ETH,2024,Sub-Saharan Africa,Africa
Falkland Islands,FLK,2024,Latin America and the Caribbean,Latin America and the Caribbean
Faroe Islands,FRO,2024,Europe and Northern America,Europe and Northern America
Fiji,FJI,2024,Oceania,Asia and the Pacific
Finland,FIN,2024,Europe and Northern America,Europe and Northern America
France,FRA,2024,Europe and Northern America,Europe and Northern America
French Guiana,GUF,2024,Latin America and the Caribbean,Latin America and the Caribbean
French Polynesia,PYF,2024,Oceania,Asia and the Pacific
French Southern Territories,ATF,2024,Sub-Saharan Africa,Africa
Gabon,GAB,2024,Sub-Saharan Africa,Africa
Gambia,GMB,2024,Sub-Saharan Africa,Africa
Georgia,GEO,2024,Northern Africa and Western Asia,Europe and Northern America
Germany,DEU,2024,Europe and Northern America,Europe and Northern America
Ghana,GHA,2024,Sub-Saharan Africa,Africa
Gibraltar,GIB,2024,Europe and Northern America,Europe and Northern America
Greece,GRC,2024,Europe and Northern America,Europe and Northern America
Greenland,GRL,2024,Europe and Northern America,Europe and Northern America
Grenada,GRD,2024,Latin America and the Caribbean,Latin America and the Caribbean
Guadeloupe,GLP,2024,Latin America and the Caribbean,Latin America and the Caribbean
Guam,GUM,2024,Oceania,Asia and the Pacific
Guatemala,GTM,2024,Latin America and the Caribbean,Latin America and the Caribbean
Guernsey,GGY,2024,Europe and Northern America,Europe and Northern America
Guinea,GIN,2024,Sub-Saharan Africa,Africa
Guinea-Bissau,GNB,2024,Sub-Saharan Africa,Africa
