Name,ISO639_1,ISO639_2
Arabic,ar,ara
Chinese,zh,zho
English,en,eng
French,fr,fra
Russian,ru,rus
Spanish,es,spa
German,de,deu
Portuguese,pt,por
Italian,it,ita
Dutch,nl,nld
Japanese,ja,jpn
Korean,ko,kor
Hindi,hi,hin
Turkish,tr,tur
Polish,pl,pol
Swedish,sv,swe
Danish,da,dan
Finnish,fi,fin
Norwegian,no,nor
Greek,el,ell
Czech,cs,ces
Hungarian,hu,hun
Romanian,ro,ron
Ukrainian,uk,ukr
Vietnamese,vi,vie
Thai,th,tha
Indonesian,id,ind
Malay,ms,msa
Swahili,sw,swa
Hebrew,he,heb
Persian,fa,fas
Urdu,ur,urd
Bengali,bn,ben
Catalan,ca,cat
Croatian,hr,hrv
Slovak,sk,slk
Slovenian,sl,slv
Bulgarian,bg,bul
Serbian,sr,srp
Lithuanian,lt,lit
Latvian,lv,lav
Estonian,et,est
Afrikaans,af,afr
Albanian,sq,sqi
Basque,eu,eus
Galician,gl,glg
Georgian,ka,kat
Icelandic,is,isl
Irish,ga,gle
Macedonian,mk,mkd
Maltese,mt,mlt
Welsh,cy,cym
